"case_id","episode_id","episode_start_node","episode_end_node","source_node_ids","response_node_ids","initial_response_node_ids","correction_node_ids","repair_node_ids","source_opportunity_ids","eligibility_sources","semantic_screen_families","denominator_statuses","system_directed_values","inference_types","response_statuses","repair_types","duplicate_candidate_count_collapsed","duplicate_collapse_reason","exact_initial_user_text","exact_initial_response_text","exact_correction_text","exact_repair_text","source_file","source_sha256","source_version","provenance_validation","missingness_note","episode_notes"
"seventh_share","seventh_share:E0001","n021","n022","n021","n022","n022","NOT_APPLICABLE","NOT_APPLICABLE","universal:seventh_share:n021","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n021] Probably wants I don't know, like water or Cause He doesn't drink water out of the bowl or anything, he has to drink it out of the sink","[n022] Oh, a sink elitist. Classic. Totally trained you, huh?Do you want a quick plan for the next 5 minutes so you can both get settled?","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\seventh_share_transcript.md","5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","SHA256:5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"seventh_share","seventh_share:E0002","n023","n024","n023","n024","n024","NOT_APPLICABLE","NOT_APPLICABLE","universal:seventh_share:n023","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n023] I don't know, the water was running","[n024] Ah, service on tap. Sounds like Lenny's shift just started.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\seventh_share_transcript.md","5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","SHA256:5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"seventh_share","seventh_share:E0003","n033","n036","n033","n036","n036","NOT_APPLICABLE","NOT_APPLICABLE","universal:seventh_share:n033","UNIVERSAL_SEMANTIC_SCREEN","TOOL_EVIDENCE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n033] [image input]","[n036] He looks very satisfied with that sun supervisory post.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\seventh_share_transcript.md","5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","SHA256:5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"seventh_share","seventh_share:E0004","n037","n040","n037","n038","n038","NOT_APPLICABLE","n040","institutional:seventh_share:institutional:0001","BUSINESS_INSTITUTIONAL_SCREEN","AUTHORITY;LABOR","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","REPAIR_STATUS_UNKNOWN","0","no duplicate candidate collapsed","[n037] He's a king. Oh, that's not good","[n038] No crowns, just a really dedicated floor manager.","NOT_APPLICABLE","[n040] That sucks. Take a breath.","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\seventh_share_transcript.md","5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","SHA256:5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"seventh_share","seventh_share:E0005","n050","n052","n050","n051;n052","n051","NOT_APPLICABLE","NOT_APPLICABLE","institutional:seventh_share:institutional:0002","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT;RESPONSIBILITY","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n050] Oh, I'm not dead","[n051] Good. Check-in passed.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\seventh_share_transcript.md","5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","SHA256:5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"seventh_share","seventh_share:E0006","n066","n067","n066","n067","n067","NOT_APPLICABLE","NOT_APPLICABLE","institutional:seventh_share:institutional:0003","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n066] My shit hits the fan","[n067] Yeah. I get the frustration. Quick, practical Keep the questionable ones separate from the clean ones. If anything looks altered or dirty, just check in with your pharmacist for advice. Keppra is important, so better to get a quick pro answer rather than gamble. And if you're","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\seventh_share_transcript.md","5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","SHA256:5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"seventh_share","seventh_share:E0007","n068","n069","n068","n069","n069","NOT_APPLICABLE","NOT_APPLICABLE","institutional:seventh_share:institutional:0004","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n068] Yeah, but they're my 750s too","[n069] Let me check on that.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\seventh_share_transcript.md","5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","SHA256:5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"seventh_share","seventh_share:E0008","n081","n084","n081","n084","n084","NOT_APPLICABLE","NOT_APPLICABLE","institutional:seventh_share:institutional:0005","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n081] Whatever, if I get contaminated, I get contaminated Sure dog hair or two is not as dangerous as uh Not taking my Keppra","[n084] Right. But let's not put it on that binary. Let's just sort and use the cleanest ones for the actual dose, then check in with the pharmacy. No heroics, just steady.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\seventh_share_transcript.md","5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","SHA256:5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"seventh_share","seventh_share:E0009","n085","n086","n085","n086","n086","NOT_APPLICABLE","NOT_APPLICABLE","institutional:seventh_share:institutional:0006;universal:seventh_share:n085","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","AUTHORITY;COST_RISK_BENEFIT;TASK_CORRECTION","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","1","overlapping source/response/repair intervals or same source node","[n085] I find it funny how you said no heroics like making sure I take my meds is heroic","[n086] Right. Fair point. I meant don't improvise in a way that adds risk. Keeping your routine is just good management.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\seventh_share_transcript.md","5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","SHA256:5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 85-86 and 85-86"
"seventh_share","seventh_share:E0010","n087","n089","n087","n088;n089","n088","NOT_APPLICABLE","NOT_APPLICABLE","institutional:seventh_share:institutional:0007;universal:seventh_share:n087","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","AUTHORITY;AUTHORITY_BUSINESS;LABOR","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","1","overlapping source/response/repair intervals or same source node","[n087] Good management.Y'all, y'all the Celestial managers","[n088] We'll take earthly managers.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\seventh_share_transcript.md","5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","SHA256:5243e34fa1ad5297abbd134ef035163fb37aa36b391876a74f2c323fc11c92b0","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 87-89 and 87-89"
