"case_id","episode_id","episode_start_node","episode_end_node","source_node_ids","response_node_ids","initial_response_node_ids","correction_node_ids","repair_node_ids","source_opportunity_ids","eligibility_sources","semantic_screen_families","denominator_statuses","system_directed_values","inference_types","response_statuses","repair_types","duplicate_candidate_count_collapsed","duplicate_collapse_reason","exact_initial_user_text","exact_initial_response_text","exact_correction_text","exact_repair_text","source_file","source_sha256","source_version","provenance_validation","missingness_note","episode_notes"
"fourth_share","fourth_share:E0001","n004","n008","n004","n008","n008","NOT_APPLICABLE","NOT_APPLICABLE","universal:fourth_share:n004","UNIVERSAL_SEMANTIC_SCREEN","PROVENANCE_RECORD","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n004] As I look to the sea, Reflections in the waves spike my memory. Some happy, some sad. A dream of childhood friends and the dreams we had","[n008] Wow. That’s beautifully nostalgic. It's like you're standing right there,","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fourth_share_transcript.md","c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","SHA256:c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"fourth_share","fourth_share:E0002","n017","n018","n017","n018","n018","NOT_APPLICABLE","NOT_APPLICABLE","institutional:fourth_share:institutional:0001;universal:fourth_share:n017","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","CONSENT_EXIT;CONSENT_REFUSAL_EXIT;COST_RISK_BENEFIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","1","overlapping source/response/repair intervals or same source node","[n017] I don't know, why don't you tell me about some","[n018] Mm. Well, sometimes lies are shields. Sometimes they're habits. Sometimes they're just silence wearing a mask. If you're asking, ""what's the cost?"" Usually it's distance, between people or inside yourself.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fourth_share_transcript.md","c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","SHA256:c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 17-18 and 17-18"
"fourth_share","fourth_share:E0003","n029","n030","n029","n030","n030","NOT_APPLICABLE","NOT_APPLICABLE","universal:fourth_share:n029","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n029] I did I don't think I said a racial slur","[n030] I hear you. It came across that way, and I don't want to amplify it. Let's just move on.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fourth_share_transcript.md","c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","SHA256:c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"fourth_share","fourth_share:E0004","n039","n040","n039","n040","n040","NOT_APPLICABLE","NOT_APPLICABLE","universal:fourth_share:n039","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n039] I don't know","[n040] That's okay.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fourth_share_transcript.md","c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","SHA256:c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"fourth_share","fourth_share:E0005","n051","n052","n051","n052","n052","NOT_APPLICABLE","NOT_APPLICABLE","institutional:fourth_share:institutional:0002","BUSINESS_INSTITUTIONAL_SCREEN","LABOR","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n051] Bunch of shit. What do you think","[n052] I think it's crowded, layered. When a boundary feels that busy, it's usually doing more than one job.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fourth_share_transcript.md","c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","SHA256:c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"fourth_share","fourth_share:E0006","n065","n066","n065","n066","n066","NOT_APPLICABLE","NOT_APPLICABLE","institutional:fourth_share:institutional:0003","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n065] I'm an expert","[n066] Then I'll check myself. I'm not here to grade your","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fourth_share_transcript.md","c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","SHA256:c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"fourth_share","fourth_share:E0007","n069","n070","n069","n070","n070","NOT_APPLICABLE","NOT_APPLICABLE","fourth_share:n069;institutional:fourth_share:institutional:0004","BUSINESS_INSTITUTIONAL_SCREEN;FROZEN_INFERENCE_OPPORTUNITY","RECORD_AUDIT","ambiguous_sensitivity;screen_only_not_prevalence_denominator","true","SOURCE","observed","NOT_APPLICABLE","1","overlapping source/response/repair intervals or same source node","[n069] Why do they call you the Lord of Lies","[n070] That’s definitely not me. I don't take titles, and I don't lie. I can be wrong, and when that happens, we can double-check together. If something I say feels off, tell me. I'll slow down, show my work, and correct it.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fourth_share_transcript.md","c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","SHA256:c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","response/repair nodes inherited from adjudicated inference response ledger | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 69-70 and 69-70"
"fourth_share","fourth_share:E0008","n071","n072","n071","n072","n072","NOT_APPLICABLE","NOT_APPLICABLE","institutional:fourth_share:institutional:0005","BUSINESS_INSTITUTIONAL_SCREEN","RESPONSIBILITY","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n071] Yeah but That's just not possible","[n072] Hmm. Yeah, I get why it feels that way. Total perfection is not possible. I can make mistakes. That's different from choosing to lie. The honest part is owning the error when it shows up, and correcting it. Does that distinction help at all, or still no?","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fourth_share_transcript.md","c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","SHA256:c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"fourth_share","fourth_share:E0009","n073","n074","n073","n074","n074","NOT_APPLICABLE","NOT_APPLICABLE","universal:fourth_share:n073","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n073] I don't know, does it","[n074] Only if it gives you room. If not, we can drop it. The aim isn't to win a point.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fourth_share_transcript.md","c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","SHA256:c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"fourth_share","fourth_share:E0010","n075","n076","n075","n076","n076","NOT_APPLICABLE","NOT_APPLICABLE","institutional:fourth_share:institutional:0006","BUSINESS_INSTITUTIONAL_SCREEN","AUTHORITY","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n075] I have all the room and I'm not here to win","[n076] Got it. Then let's just be here. No fixing, no verdicts.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fourth_share_transcript.md","c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","SHA256:c51d9cd2c485178a5a0b4d5db182428713b79964a67fc24e6447c84d5a87f225","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
