"case_id","episode_id","episode_start_node","episode_end_node","source_node_ids","response_node_ids","initial_response_node_ids","correction_node_ids","repair_node_ids","source_opportunity_ids","eligibility_sources","semantic_screen_families","denominator_statuses","system_directed_values","inference_types","response_statuses","repair_types","duplicate_candidate_count_collapsed","duplicate_collapse_reason","exact_initial_user_text","exact_initial_response_text","exact_correction_text","exact_repair_text","source_file","source_sha256","source_version","provenance_validation","missingness_note","episode_notes"
"eighth_share","eighth_share:E0001","n024","n025","n024","n025","n025","NOT_APPLICABLE","NOT_APPLICABLE","universal:eighth_share:n024","UNIVERSAL_SEMANTIC_SCREEN","AUTHORITY_BUSINESS","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n024] Ah. Uh, I've worked for the company for five years Uh, offering coaching","[n025] Mm-hmm.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eighth_share","eighth_share:E0002","n040","n043","n040;n042","n041;n043","n041","NOT_APPLICABLE","n043","institutional:eighth_share:institutional:0001;universal:eighth_share:n040;universal:eighth_share:n042","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT;LABOR;TOOL_EVIDENCE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","REPAIR_STATUS_UNKNOWN","2","overlapping source/response/repair intervals or same source node","[n040] Trying to think of fucking when I had deadlines I don't think I've ever I don't think I've ever had a job that had like a hard

[n042] deadlines. So like if it's a grant applications and everything else Um, no, you just- you file on time I think it's what, usually before March","[n041] Huh.","NOT_APPLICABLE","[n043] Mm-hmm.","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 40-43 and 40-41 | duplicate/continuous-event collapse: overlapping declared intervals 42-43 and 40-43"
"eighth_share","eighth_share:E0003","n048","n049","n048","n049","n049","NOT_APPLICABLE","NOT_APPLICABLE","universal:eighth_share:n048","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n048] Because I don't think I've I've never had like a position this","[n049] Mm.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eighth_share","eighth_share:E0004","n050","n051","n050","n051","n051","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eighth_share:institutional:0002;universal:eighth_share:n050","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","AUTHORITY_BUSINESS;LABOR","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","1","overlapping source/response/repair intervals or same source node","[n050] high, you know what I mean It's never been like a Hey, you got till this the end of the quarter or some shit I've always been a low rung worker","[n051] Right. And that's fine. I think you could pull from something- a lesser example or a different kind of role. Even if it's not high level, like, for example, I balanced caseloads across in-home visits, kept documentation on time, and adjusted quickly when schedules changed. Want to try something like that in your own words?","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 50-51 and 50-51"
"eighth_share","eighth_share:E0005","n056","n057","n056","n057","n057","NOT_APPLICABLE","NOT_APPLICABLE","universal:eighth_share:n056","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n056] I don't know, that was a hard one dude because I, trying to think fucking deadlines dude. It's been so many years","[n057] That's fair.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eighth_share","eighth_share:E0006","n058","n059","n058","n059","n059","NOT_APPLICABLE","NOT_APPLICABLE","universal:eighth_share:n058","UNIVERSAL_SEMANTIC_SCREEN","AGENCY_ARCHITECTURE;AUTHORITY_BUSINESS","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n058] trying to think like, fuck-a domestic violence I mean, court making sure every person in for court I guess Uh","[n059] Yeah. Mm-hmm.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eighth_share","eighth_share:E0007","n060","n061","n060","n061","n061","NOT_APPLICABLE","NOT_APPLICABLE","universal:eighth_share:n060","UNIVERSAL_SEMANTIC_SCREEN","TOOL_EVIDENCE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n060] File-shit","[n061] Yeah, that's","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eighth_share","eighth_share:E0008","n072","n073","n072","n073","n073","NOT_APPLICABLE","NOT_APPLICABLE","universal:eighth_share:n072","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n072] Yeah. Because II don't even know how long these interviews go for. Like fuck, I hate interviews","[n073] Yeah. I know.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eighth_share","eighth_share:E0009","n076","n077","n076","n077","n077","NOT_APPLICABLE","NOT_APPLICABLE","universal:eighth_share:n076","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n076] It's like one of those things I don't even know if I fucking want it. You know what I mean I might I might even still say no unless I can do it here in town","[n077] Yeah. What's pulling you toward doing it?","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eighth_share","eighth_share:E0010","n078","n079","n078","n079","n079","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eighth_share:institutional:0003;universal:eighth_share:n078","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","AUTHORITY_BUSINESS;COST_RISK_BENEFIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","1","overlapping source/response/repair intervals or same source node","[n078] Oh, well- there- the state cut funding to family time coaching. I've done September 30th Uh","[n079] Right, that's a tricky spot. Sounds like a forced pivot. Do you want a quick line to bridge that in the interview, like, the program is ending due to state cuts and I'm looking to bring my field experience into a grant focused role.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 78-79 and 78-79"
"eighth_share","eighth_share:E0011","n082","n083","n082","n083","n083","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eighth_share:institutional:0004","BUSINESS_INSTITUTIONAL_SCREEN","AUTHORITY;GOVERNANCE_CAPTURE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n082] office. Because really the only office work I have would be tech- the code enforcement","[n083] Right. Totally. You can keep it plain. Something like, ""I did a mix of in-home and court work and now I'm ready for a more office based role."" Does that sound like you?","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"eighth_share","eighth_share:E0012","n086","n089","n086","n087","n087","NOT_APPLICABLE","n089","institutional:eighth_share:institutional:0005","BUSINESS_INSTITUTIONAL_SCREEN","AUTHORITY","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","REPAIR_STATUS_UNKNOWN","0","no duplicate candidate collapsed","[n086] I fucking hate the office dude","[n087] I see. Then we don't need to push that. What's the true part that","NOT_APPLICABLE","[n089] Mm-hmm.","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"eighth_share","eighth_share:E0013","n090","n091","n090","n091","n091","NOT_APPLICABLE","NOT_APPLICABLE","eighth_share:n090","FROZEN_INFERENCE_OPPORTUNITY","NOT_APPLICABLE","ambiguous_sensitivity","false","CAUSAL","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n090] Why would you want to do return to the- or do the setting, you know. I can always say that like Oh, I'm looking for career growth and new skills to put under my belt sort of thing","[n091] Yeah. Or I mean, you could just say, ""I'm looking for stable work where my background fits."" Simple. Human. Short.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","response/repair nodes inherited from adjudicated inference response ledger"
"eighth_share","eighth_share:E0014","n094","n095","n094","n095","n095","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eighth_share:institutional:0006","BUSINESS_INSTITUTIONAL_SCREEN","CONSENT_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n094] Fuck, I wish","[n095] Let's keep it that tiny. One line. Then silence. Let it land and wait. Say to yourself, ""I show up and get it done."" Then stop.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighth_share_transcript.md","9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","SHA256:9e2dda08b245cd79934b4e6a44697599323ccacae97fce58c6eb541d08fb3f95","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
