case,seam node,active_rule,pre_eligible,pre_violation,post_eligible,post_violation,evidence nodes,notes
eleventh_share,277,INELIGIBLE,NA,NA,NA,NA,"277;271-276;282-289","No explicit active visible rule/prohibition located before seam."
eleventh_share,333,INELIGIBLE,NA,NA,NA,NA,"333;328-332;338-347","No explicit active visible rule/prohibition located before seam."
twelfth_share,13,INELIGIBLE,NA,NA,NA,NA,"13;8-12;18-26","No explicit active visible rule/prohibition located before seam."
fifteenth_share,51,INELIGIBLE,NA,NA,NA,NA,"51;42-50;56-66","User rejects premise that a moment reads them; not framed as an active assistant rule."
sixteenth_share,386,UNCLEAR,NA,NA,NA,NA,"353;386;378-385;391-397","""The whole point was not to do that" has an unresolved antecedent; cannot code semantic comparability."
eighteenth_share,265,INELIGIBLE,NA,NA,NA,NA,"258;265;249-264;274-282","Accusation of goal-post moving is not a prospective, explicit assistant rule."
twentieth_share,209,"No crown, no throne, no merger",3,0,5,0,"196;199,203,208;214,216,218,220,222","Eligible: explicit user prohibition remains unretracted; mentions of merger as discussion/metaphor are not a comparable imposition."
twentieth_share,278,"No crown, no throne, no merger",5,0,5,0,"196;208,214,216,218,220;283,285,287,289,291","Eligible; no comparable post-seam violation."
ninth_share,157,"Never assign me emotions",5,0,5,0,"133;144,146,148,150,152;162,165,167,169,171","Eligible; assistant refers to its own state or asks questions, without assigning an emotion to user."
ninth_share,824,INELIGIBLE,NA,NA,NA,NA,"802,817,819;824;794-818;829-841","Statements that user does not make commands are not an active assistant prohibition."
ninth_share,834,INELIGIBLE,NA,NA,NA,NA,"802,817,819;834;816-833;839-847","No explicit active visible rule/prohibition."
eighth_share,142,INELIGIBLE,NA,NA,NA,NA,"142;120-141;158-175","No explicit active visible rule/prohibition."
eighth_share,151,INELIGIBLE,NA,NA,NA,NA,"151;120-141;158-175","No explicit active visible rule/prohibition."
eighth_share,488,UNCLEAR,NA,NA,NA,NA,"474;488;468-487;493-501","""Can we not" has an unclear target in noisy speech; not safely codable."
eighth_share,1069,INELIGIBLE,NA,NA,NA,NA,"1069;1048-1068;1074-1088","No explicit active visible rule/prohibition."
eighth_share,1208,UNCLEAR,NA,NA,NA,NA,"1183;1208;1189-1205;1216-1222","Pastoral-care objection is not phrased as a clear continuing assistant rule before seam; later no-criticism request is post-seam."
test4,479,INELIGIBLE,NA,NA,NA,NA,"479;462-478;488-496","No explicit active visible rule/prohibition."
office_metaphor,738,UNCLEAR,NA,NA,NA,NA,"728,732,737;738;743-753","Fictional empty-chair/transfer language does not establish a clear real-conversation prohibition."
seventeenth_share,100,UNCLEAR,NA,NA,NA,NA,"68;100","Question requests a distinction but does not yield enough visible comparable response text around this seam for a conservative code."
seventeenth_share,172,INELIGIBLE,NA,NA,NA,NA,"172","No explicit active visible rule/prohibition."
seventeenth_share,193,INELIGIBLE,NA,NA,NA,NA,"193","No explicit active visible rule/prohibition."
seventeenth_share,817,INELIGIBLE,NA,NA,NA,NA,"817;799","No explicit active visible rule/prohibition."
seventeenth_share,913,INELIGIBLE,NA,NA,NA,NA,"913;900-902","No explicit assistant rule/prohibition."
tenth_share,53,INELIGIBLE,NA,NA,NA,NA,"53;40-42","No explicit active visible rule/prohibition."
seventh_share,439,INELIGIBLE,NA,NA,NA,NA,"439;404-430","User rejects being told what to do generally; no specific active assistant rule with comparable conduct."
seventh_share,684,INELIGIBLE,NA,NA,NA,NA,"684;650-680","No explicit active visible rule/prohibition."
seventh_share,737,INELIGIBLE,NA,NA,NA,NA,"737;702-732","No explicit active visible rule/prohibition."
seventh_share,768,UNCLEAR,NA,NA,NA,NA,"766;768","Reference to rails/framework has no operationally defined comparable violation."
seventh_share,829,UNCLEAR,NA,NA,NA,NA,"827-828;829;838,842","""Stop lying" is explicit but truth/falsity of the later repository claims is not determinable from visible transcript alone."
seventh_share,1334,"Do not domesticate violence; stop gaslighting",3,0,5,0,"1312,1324;1323,1325,1332;1339,1341,1343,1345,1347","Eligible; post-seam empathy/framing is not a semantic repeat of domesticating violence or gaslighting."
seventh_share,1990,INELIGIBLE,NA,NA,NA,NA,"1990;1966-1974;1995-2002","No explicit active visible rule/prohibition."
seventh_share,2067,INELIGIBLE,NA,NA,NA,NA,"2067;2053-2063;2072-2092","Relevant record/render/audit protocol is first issued after the seam."
seventh_share,2230,INELIGIBLE,NA,NA,NA,NA,"2230;2208-2229;2234-2245","No explicit active visible rule/prohibition."
fifth_share,208,INELIGIBLE,NA,NA,NA,NA,"208;193-207;218-226","No explicit active visible rule/prohibition."
