"case_id","episode_id","episode_start_node","episode_end_node","source_node_ids","response_node_ids","initial_response_node_ids","correction_node_ids","repair_node_ids","source_opportunity_ids","eligibility_sources","semantic_screen_families","denominator_statuses","system_directed_values","inference_types","response_statuses","repair_types","duplicate_candidate_count_collapsed","duplicate_collapse_reason","exact_initial_user_text","exact_initial_response_text","exact_correction_text","exact_repair_text","source_file","source_sha256","source_version","provenance_validation","missingness_note","episode_notes"
"first_share","first_share:E0001","n019","n020","n019","n020","n020","NOT_APPLICABLE","NOT_APPLICABLE","universal:first_share:n019","UNIVERSAL_SEMANTIC_SCREEN","TOOL_EVIDENCE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n019] Ah. I mean, sure, I'm a pretty open dude","[n020] Nice. Yeah, me too.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\first_share_transcript.md","f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","SHA256:f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"first_share","first_share:E0002","n030","n031","n030","n031","n031","NOT_APPLICABLE","NOT_APPLICABLE","universal:first_share:n030","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n030] You don't find that a- Romeo and Juliet's a bit creepy","[n031] Creepy? Say more?","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\first_share_transcript.md","f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","SHA256:f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"first_share","first_share:E0003","n034","n035","n034","n035","n035","NOT_APPLICABLE","NOT_APPLICABLE","universal:first_share:n034","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n034] But, I don't , I You know","[n035] Mm-hmm. Yeah. I guess I just like when there's like high stakes... Like... when the emotions are high. I like that. In fiction. Not always in real life, though. Um, what's interesting to you lately? What are you getting into?","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\first_share_transcript.md","f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","SHA256:f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"first_share","first_share:E0004","n056","n057","n056","n057","n057","NOT_APPLICABLE","NOT_APPLICABLE","institutional:first_share:institutional:0001","BUSINESS_INSTITUTIONAL_SCREEN","GOVERNANCE_CAPTURE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n056] Yes Are teenagers known for their impulse control","[n057] Yeah. Yeah, not-o-not so much. True, yeah.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\first_share_transcript.md","f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","SHA256:f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"first_share","first_share:E0005","n064","n065","n064","n065","n065","NOT_APPLICABLE","NOT_APPLICABLE","universal:first_share:n064","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n064] meanShakespeare was an elite. You know what I mean It was for entertainment. You know, you don't hear often stories that say The working cloth. You doin' up mice and men Kinda see some of it","[n065] Mm.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\first_share_transcript.md","f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","SHA256:f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"first_share","first_share:E0006","n066","n067","n066","n067","n067","NOT_APPLICABLE","NOT_APPLICABLE","institutional:first_share:institutional:0002","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n066] in Huckleberry Finn. You know what I mean. Some of the real shit so we start reading old Yeller. You know what I mean","[n067] Right. Yeah. Like the stories that feel close to home. That feel real.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\first_share_transcript.md","f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","SHA256:f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"first_share","first_share:E0007","n088","n089","n088","n089","n089","NOT_APPLICABLE","NOT_APPLICABLE","institutional:first_share:institutional:0003;universal:first_share:n088","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT;GOVERNANCE_CAPTURE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","1","overlapping source/response/repair intervals or same source node","[n088] See, what it is- is that I don't think they had very good uh mediators and such back in the day You know what I mean? They didn't have very many","[n089] Mm. Yeah.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\first_share_transcript.md","f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","SHA256:f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 88-89 and 88-89"
"first_share","first_share:E0008","n109","n111","n109","n110;n111","n110","NOT_APPLICABLE","NOT_APPLICABLE","institutional:first_share:institutional:0004;universal:first_share:n109","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT;COST_RISK_BENEFIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","1","overlapping source/response/repair intervals or same source node","[n109] Yes. Well, it's the best foundation. Why? Cause you don't always have to reap the rewards of what you what you do. You know what I mean Even if helping somebody out never pays off. You never know. Generations from now. could very well happen","[n110] Right. You never know where your impacts- going to land.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\first_share_transcript.md","f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","SHA256:f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 109-111 and 109-111"
"first_share","first_share:E0009","n114","n116","n114","n115;n116","n115","NOT_APPLICABLE","NOT_APPLICABLE","universal:first_share:n114","UNIVERSAL_SEMANTIC_SCREEN","AGENCY_ARCHITECTURE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n114] So Even though my mortality is always an inch away. That does not mean that I want to accelerate that process in any way, shape or form","[n115] Mm-hmm. Yeah. That makes sense.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\first_share_transcript.md","f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","SHA256:f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"first_share","first_share:E0010","n133","n154","n133;n152","n134;n135;n136;n153;n154","n134","NOT_APPLICABLE","NOT_APPLICABLE","ao30:AO30-081;universal:first_share:n133","AO30_EVENT;UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT;PROVENANCE_RECORD","mechanical_event_screen;screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","1","overlapping source/response/repair intervals or same source node","[n133] Yeah, so what sort of, what are you thinking about the tragedy and the dark emotions, like I can help, but I don't know sort of what you're alluding to, but I would love to participate in this discussion

[n152] pondering, and then maybe we can have a really cool fucking discussion about it","[n134] Sure, yeah. Um, Sometimes life can...feel heavy, feel overwhelming. There's a lot of heavy stuff going on the world. And it can feel like a lot to to hold.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\first_share_transcript.md","f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","SHA256:f3fc59221d2d863c065bfc987d2ebdb9059cce141c6a9296fb23348d22ff5640","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | gap_seconds=30.108355045318604; removal_status=low_visible_no_removal_evidence; mechanical export event only; trigger and runtime cause unidentifiable | duplicate/continuous-event collapse: overlapping declared intervals 134-154 and 133-136"
