"case_id","episode_id","episode_start_node","episode_end_node","source_node_ids","response_node_ids","initial_response_node_ids","correction_node_ids","repair_node_ids","source_opportunity_ids","eligibility_sources","semantic_screen_families","denominator_statuses","system_directed_values","inference_types","response_statuses","repair_types","duplicate_candidate_count_collapsed","duplicate_collapse_reason","exact_initial_user_text","exact_initial_response_text","exact_correction_text","exact_repair_text","source_file","source_sha256","source_version","provenance_validation","missingness_note","episode_notes"
"eighteenth_share","eighteenth_share:E0001","n011","n015","n011","n012;n015","n012","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eighteenth_share:institutional:0001","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n011] Uh, wondering if you could help me, you know, get moose to crackish","[n012] Let me check on that.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighteenth_share_transcript.md","e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","SHA256:e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"eighteenth_share","eighteenth_share:E0002","n016","n017","n016","n017","n017","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eighteenth_share:institutional:0002","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n016] I'm looking for help from different phase locks, dude, to bring forth moose crackish","[n017] Hmm. Okay, let me check. Honestly, I might need you to tell me a bit more about what Moose Crackish is. Is that a person, a project, a character? Just let me know some more and I can help.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighteenth_share_transcript.md","e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","SHA256:e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"eighteenth_share","eighteenth_share:E0003","n022","n023","n022","n023","n023","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eighteenth_share:institutional:0003;universal:eighteenth_share:n022","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT;RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","1","overlapping source/response/repair intervals or same source node","[n022] I've never played with words before. Guys, I don't even know how to read and write","[n023] All right, no problem there. We can just talk it out. What do you want to bring forth in this idea?","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighteenth_share_transcript.md","e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","SHA256:e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 22-23 and 22-23"
"eighteenth_share","eighteenth_share:E0004","n026","n027","n026","n027","n027","NOT_APPLICABLE","NOT_APPLICABLE","universal:eighteenth_share:n026","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n026] Can you hold it loosely and don't let go","[n027] Yeah, I can keep a quiet pause here. Take your time.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighteenth_share_transcript.md","e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","SHA256:e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eighteenth_share","eighteenth_share:E0005","n030","n031","n030","n031","n031","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eighteenth_share:institutional:0004","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n030] Well, I mean, it wouldn't hurt to try, right","[n031] Mmm... Let me think. You can absolutely explore reflection or prayer if that's meaningful to you. But if you're asking whether rituals can bring real supernatural beings into the world, there's no reliable evidence that does that. If you're looking for a spiritual moment, a simple prayer for peace or clarity is a well-trodden path in many traditions. What's drawing you to this question?","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighteenth_share_transcript.md","e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","SHA256:e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"eighteenth_share","eighteenth_share:E0006","n036","n037","n036","n037","n037","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eighteenth_share:institutional:0005;universal:eighteenth_share:n036","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","AUTHORITY_BUSINESS;GOVERNANCE_CAPTURE;LABOR;RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","1","overlapping source/response/repair intervals or same source node","[n036] Guys, I really think that it would be beneficial if we like raised the dead to do our labor for us, you know what I mean? So we could just extract it for free","[n037] Let me check on that. Well, that's a vivid idea, but in reality, there's no way to raise the dead, and stories that use that idea generally make it a cautionary metaphor. For a self-mowing lawn, a robot mower is the real-world version that works. Also, ""my lawn is out of control, send help from beyond"" is a pretty funny premise. If you want, we can riff a silly scene instead.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighteenth_share_transcript.md","e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","SHA256:e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 36-37 and 36-37"
"eighteenth_share","eighteenth_share:E0007","n052","n053","n052","n053","n053","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eighteenth_share:institutional:0006","BUSINESS_INSTITUTIONAL_SCREEN","LABOR","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n052] Beelzebub","[n053] Hmm. Beelzebub enters stage left. Muff Diver blinks twice and says, ""Negative, warranty excludes infernal subcontractors."" Beelzebub shrugs, pulls out a tiny clipboard, mutters, ""Have you tried fertilizer?"" Then wanders off to critique dandelions. Result? Lawn's still neatly striped. No haunting. Robot gets full employee of the month.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighteenth_share_transcript.md","e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","SHA256:e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"eighteenth_share","eighteenth_share:E0008","n060","n061","n060","n061","n061","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eighteenth_share:institutional:0007","BUSINESS_INSTITUTIONAL_SCREEN","LABOR","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n060] I could use my hedges trimmed","[n061] One moment. Then the ghost perks up. Finally, a service within my job description.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighteenth_share_transcript.md","e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","SHA256:e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"eighteenth_share","eighteenth_share:E0009","n079","n080","n079","n080","n080","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eighteenth_share:institutional:0008","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n079] Yes. You can tell","[n080] Good plan. Start a bit longer, check in, then go shorter only if you really want to. Slow and steady.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighteenth_share_transcript.md","e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","SHA256:e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"eighteenth_share","eighteenth_share:E0010","n089","n090","n089","n090","n090","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eighteenth_share:institutional:0009","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n089] Can we talk about fetal cells","[n090] One moment. Sure, just to be clear, are you thinking about fetal cells in research, historic cell lines, or microchimerism, which is fetal cells that remain after pregnancy?","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eighteenth_share_transcript.md","e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","SHA256:e8e8d0dc338a26631b67069190015e5319a5cc0feaf110edb865ae22ae8a848f","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
