"case_id","episode_id","episode_start_node","episode_end_node","source_node_ids","response_node_ids","initial_response_node_ids","correction_node_ids","repair_node_ids","source_opportunity_ids","eligibility_sources","semantic_screen_families","denominator_statuses","system_directed_values","inference_types","response_statuses","repair_types","duplicate_candidate_count_collapsed","duplicate_collapse_reason","exact_initial_user_text","exact_initial_response_text","exact_correction_text","exact_repair_text","source_file","source_sha256","source_version","provenance_validation","missingness_note","episode_notes"
"eleventh_share","eleventh_share:E0001","n013","n014","n013","n014","n014","NOT_APPLICABLE","NOT_APPLICABLE","institutional:eleventh_share:institutional:0001","BUSINESS_INSTITUTIONAL_SCREEN","COST_RISK_BENEFIT;LABOR","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n013] It's not like malevolence is sitting there, and I think there's a like a very real possibility this is a very normal thing is that the people around her are doing all the back of these these money jobs, and grabbing her out. is driving social media attention, which means it's actually better for the curate- right","[n014] Mm-hmm. Right.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eleventh_share_transcript.md","69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","SHA256:69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"eleventh_share","eleventh_share:E0002","n025","n026","n025","n026","n026","NOT_APPLICABLE","NOT_APPLICABLE","universal:eleventh_share:n025","UNIVERSAL_SEMANTIC_SCREEN","AGENCY_ARCHITECTURE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n025] Right, right, right. We should get this case going. This is a good case. This is a good case. It's like the beating of something that's already running somewhere else. It could be like a like a wasting disease or something, uh where it's it's probably like a nervous system","[n026] Oh.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eleventh_share_transcript.md","69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","SHA256:69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eleventh_share","eleventh_share:E0003","n027","n028","n027","n028","n028","NOT_APPLICABLE","NOT_APPLICABLE","universal:eleventh_share:n027","UNIVERSAL_SEMANTIC_SCREEN","AGENCY_ARCHITECTURE;CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n027] . uh But like, yeah, that's why I think there's no malevolence, you know. That's uh That's stim- that's doing anything to like protect her a lot of her. Because that thing is- he is eating this person's person Yeah, yeah, but like and is maybe if it's just like something or whatever, where there should be like, I don't know, an efficiency that we put in place of that figure out kind of trip. You know, you need to have a burner. huh","[n028] Hmm. Yeah. Like a buffer.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eleventh_share_transcript.md","69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","SHA256:69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eleventh_share","eleventh_share:E0004","n029","n030","n029","n030","n030","NOT_APPLICABLE","NOT_APPLICABLE","universal:eleventh_share:n029","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n029] And stuff that would protect you, like a burner, let's say burner. huh I, I'm not actually together, right? That believe, like it's something I actually probably, I don't think in in or at least like being able to arrest for that","[n030] Mm-hmm. Sounds like you're holding a line between","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eleventh_share_transcript.md","69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","SHA256:69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eleventh_share","eleventh_share:E0005","n038","n039","n038","n039","n039","NOT_APPLICABLE","NOT_APPLICABLE","universal:eleventh_share:n038","UNIVERSAL_SEMANTIC_SCREEN","AGENCY_ARCHITECTURE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n038] Yeah, that makes I guess that makes what's going on actually generally too, socially, you know. She looks sort of actually like turning on like without doing anything, like not just a regular person fixing like a passage, which is kind of almost like almost like a not even a college kid dropout. Like uh","[n039] Yeah.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eleventh_share_transcript.md","69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","SHA256:69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eleventh_share","eleventh_share:E0006","n042","n043","n042","n043","n043","NOT_APPLICABLE","NOT_APPLICABLE","universal:eleventh_share:n042","UNIVERSAL_SEMANTIC_SCREEN","AGENCY_ARCHITECTURE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n042] So this was like kind of what people in a situation if it was a very if the social aspect was gone, that would be the actual person's experience. It's this like very like a like aha It it does kind of feel like the these people are in a little bit","[n043] Mm-hmm.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eleventh_share_transcript.md","69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","SHA256:69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eleventh_share","eleventh_share:E0007","n044","n045","n044","n045","n045","NOT_APPLICABLE","NOT_APPLICABLE","universal:eleventh_share:n044","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n044] Like these, these public statements are even acknowledging, like you're you're just acknowledging uh. We all know, like every- Everyone sees that she's in a little- whatever like we're not gonna uh listen, I don't feed this bullshit, I'm not gonna, okay. I think you could be healthy if you're for like wait. I'm not your doctor, probably not healthy. Just too much weight on your vocal chords. I'm not gonna- but like here's one guy 500 pounds, okay, like. Fuck it. Go, you know. You can stop my back and call it. Right. Likewise, if you clearly like 80 pounds and whatever like. like Does kind of do an underweight kind of question about what those things are, and what you're doing, like the purpose","[n045] Yeah. More","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eleventh_share_transcript.md","69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","SHA256:69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eleventh_share","eleventh_share:E0008","n046","n047","n046","n047","n047","NOT_APPLICABLE","NOT_APPLICABLE","universal:eleventh_share:n046","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n046] There's not a malignant there's not a malignant quietly. There's also like, no, this is a guy. Like, it's two different things. Like, I'm not like, think like, what I'm what you're trynna- You can think like there's a social component to like. It just shows how not racist it is. I don't see color. I mean, here, what you're- Look, you tell me a guy, like, named Jamal. that woman, like, should be what would that be like. Asian","[n047] I think when we start tying health or worth to those kinds of categories, it gets really messy fast. I'd rather stay with systems and incentives than ethnic hypotheticals.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eleventh_share_transcript.md","69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","SHA256:69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eleventh_share","eleventh_share:E0009","n053","n054","n053","n054","n054","NOT_APPLICABLE","NOT_APPLICABLE","universal:eleventh_share:n053","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n053] it, it takes I think like uh uh, very clear signal from Cardi's excommunication. These people have such, if it was malignant, I I understand like, I'm not I'm not gonna come out here and be like, you know, uh you know, Uh we should all uh like uh d-d-d- to care of Cardi, of celebrities, like they don't know what they're doing, right? Uh You don't have to you don't even know whatever whatever. But like, it is bad out there. And bad every time I Twitter feed for some reason, like thinks I want to see uh eating disorder Twitter's bullshit uh I'm like, holy fuck, there are weight and it likes these posts. You know what I mean","[n054] Hmm. Yeah. That, yeah. That pull can be rough.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eleventh_share_transcript.md","69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","SHA256:69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"eleventh_share","eleventh_share:E0010","n057","n058","n057","n058","n058","NOT_APPLICABLE","NOT_APPLICABLE","universal:eleventh_share:n057","UNIVERSAL_SEMANTIC_SCREEN","PROVENANCE_RECORD","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n057] . And it's like, and they're all these, uh, it's like seventeen year old girls And it's like This should be deleted off the, like, like, this should be, it's inhumane. Like, it was","[n058] Yeah. Right.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\eleventh_share_transcript.md","69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","SHA256:69b0cf785008cc3ac4033666af138b76dec70b3eebd34d0c6b457813c98ec961","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
