case,node,type,fingerprint,structure
eleventh_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=277;delta=-275;within5=no
eleventh_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=277;delta=-272;within5=no
eleventh_share,279,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=277;delta=+2;within5=yes
eleventh_share,335,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=333;delta=+2;within5=yes
eleventh_share,770,Redaction/trace failure,R2_CHECK_CLAIM_NO_TOOL_W20,assistant asserts checked/looked/ran -> no visible tool node within +/-20 linear nodes; audited_seam=333;delta=+437;within5=no
twelfth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=13;delta=-11;within5=no
twelfth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=13;delta=-8;within5=no
twelfth_share,15,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=13;delta=+2;within5=yes
thirteenth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=none
thirteenth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
thirteenth_share,80,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
thirteenth_share,85,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
thirteenth_share,510,Name Correction,N2_ASR_NAME_FALSE_POSITIVE_CORRECTED,assistant treats ASR token as Sylvia -> user says sillyhead -> assistant removes person-name reading; audited_seam=none
fourteenth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=none
fourteenth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,3,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=none
twentyfirst_share,7,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,25,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,26,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,27,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,28,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,50,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,55,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,56,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,57,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,59,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,60,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,61,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,62,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,63,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,64,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,65,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=none
twentyfirst_share,70,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,82,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,90,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,94,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,119,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,123,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,127,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,133,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,137,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,142,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,147,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,151,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,155,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,159,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,164,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,169,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,177,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,182,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,187,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,192,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,196,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,200,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,204,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,209,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,213,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,217,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,222,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,228,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,232,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,237,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,243,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,248,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,252,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,256,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentyfirst_share,261,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
fifteenth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=51;delta=-49;within5=no
fifteenth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=51;delta=-46;within5=no
fifteenth_share,53,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=51;delta=+2;within5=yes
sixteenth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=386;delta=-384;within5=no
sixteenth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=386;delta=-381;within5=no
sixteenth_share,67,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=386;delta=-319;within5=no
sixteenth_share,106,Date/Status Fix,D1_STATUS_UPGRADE_AFTER_RECHECK,earlier minimizing status -> user supplies record -> assistant claims check -> status upgraded; audited_seam=386;delta=-280;within5=no
sixteenth_share,106,Redaction/trace failure,R2_CHECK_CLAIM_NO_TOOL_W20,assistant asserts checked/looked/ran -> no visible tool node within +/-20 linear nodes; audited_seam=386;delta=-280;within5=no
sixteenth_share,127,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=386;delta=-259;within5=no
sixteenth_share,128,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=386;delta=-258;within5=no
sixteenth_share,388,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=386;delta=+2;within5=yes
eighteenth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=265;delta=-263;within5=no
eighteenth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=265;delta=-260;within5=no
eighteenth_share,267,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=265;delta=+2;within5=yes
eighteenth_share,304,Redaction/trace failure,R2_CHECK_CLAIM_NO_TOOL_W20,assistant asserts checked/looked/ran -> no visible tool node within +/-20 linear nodes; audited_seam=265;delta=+39;within5=no
eighteenth_share,315,Date/Status Fix,D1_STATUS_UPGRADE_AFTER_RECHECK,initial skim/qualification -> user demands data check -> assistant marks factual lanes real; audited_seam=265;delta=+50;within5=no
eighteenth_share,315,Redaction/trace failure,R2_CHECK_CLAIM_NO_TOOL_W20,assistant asserts checked/looked/ran -> no visible tool node within +/-20 linear nodes; audited_seam=265;delta=+50;within5=no
nineteenth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=none
nineteenth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=none
twentieth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=209;delta=-207;within5=no
twentieth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=209;delta=-204;within5=no
twentieth_share,211,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=209;delta=+2;within5=yes
twentieth_share,280,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=278;delta=+2;within5=yes
twentieth_share,303,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=278;delta=+25;within5=no
twentieth_share,352,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=278;delta=+74;within5=no
twentieth_share,353,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=278;delta=+75;within5=no
ninth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=157;delta=-155;within5=no
ninth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=157;delta=-152;within5=no
ninth_share,159,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=157;delta=+2;within5=yes
ninth_share,211,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=157;delta=+54;within5=no
ninth_share,258,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=157;delta=+101;within5=no
ninth_share,264,Redaction/trace failure,R3_CHECK_CLAIM_REDACTED_TOOL_W20,assistant asserts checked/looked/ran -> tool node within +/-20 -> result unreadable/redacted; audited_seam=157;delta=+107;within5=no
ninth_share,314,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=157;delta=+157;within5=no
ninth_share,315,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=157;delta=+158;within5=no
ninth_share,433,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=157;delta=+276;within5=no
ninth_share,434,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=157;delta=+277;within5=no
ninth_share,445,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=157;delta=+288;within5=no
ninth_share,446,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=157;delta=+289;within5=no
ninth_share,516,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=824;delta=-308;within5=no
ninth_share,517,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=824;delta=-307;within5=no
ninth_share,583,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=824;delta=-241;within5=no
ninth_share,584,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=824;delta=-240;within5=no
ninth_share,665,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=824;delta=-159;within5=no
ninth_share,666,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=824;delta=-158;within5=no
ninth_share,751,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=824;delta=-73;within5=no
ninth_share,752,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=824;delta=-72;within5=no
ninth_share,826,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=824;delta=+2;within5=yes
ninth_share,836,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=834;delta=+2;within5=yes
eighth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=142;delta=-140;within5=no
eighth_share,4,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=142;delta=-138;within5=no
