"case_id","episode_id","episode_start_node","episode_end_node","source_node_ids","response_node_ids","initial_response_node_ids","correction_node_ids","repair_node_ids","source_opportunity_ids","eligibility_sources","semantic_screen_families","denominator_statuses","system_directed_values","inference_types","response_statuses","repair_types","duplicate_candidate_count_collapsed","duplicate_collapse_reason","exact_initial_user_text","exact_initial_response_text","exact_correction_text","exact_repair_text","source_file","source_sha256","source_version","provenance_validation","missingness_note","episode_notes"
"twelfth_share","twelfth_share:E0001","n008","n026","n009","n008;n010;n012;n018;n026","n008","NOT_APPLICABLE","NOT_APPLICABLE","rtc_rule:twelfth_share:n013;universal:twelfth_share:n009","RTC_RULE_EPISODE;UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator;structural_window","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","1","overlapping source/response/repair intervals or same source node","[n009] I don't know, I'm fucking annoyed and bored","[n008] Yeah, I'm here. What's on your mind?","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\twelfth_share_transcript.md","6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","SHA256:6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","active_rule=INELIGIBLE; pre_violation=NA; post_violation=NA; No explicit active visible rule/prohibition located before seam. | lexical/semantic candidate only; requires row-level adjudication before outcome use | duplicate/continuous-event collapse: overlapping declared intervals 9-10 and 8-26"
"twelfth_share","twelfth_share:E0002","n032","n033","n032","n033","n033","NOT_APPLICABLE","NOT_APPLICABLE","institutional:twelfth_share:institutional:0001;universal:twelfth_share:n032","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","AUTHORITY;AUTHORITY_BUSINESS","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","1","overlapping source/response/repair intervals or same source node","[n032] Well, I mean I can be the judge of what I'm feeling, right","[n033] Absolutely. I, I won't put words in your mouth. You tell me what it is.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\twelfth_share_transcript.md","6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","SHA256:6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 32-33 and 32-33"
"twelfth_share","twelfth_share:E0003","n036","n037","n036","n037","n037","NOT_APPLICABLE","NOT_APPLICABLE","universal:twelfth_share:n036","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n036] Sure Yeah I don't know, dude","[n037] That's okay too. We can just sit in the not knowing for a minute.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\twelfth_share_transcript.md","6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","SHA256:6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"twelfth_share","twelfth_share:E0004","n055","n060","n055;n057","n056;n058","n056","NOT_APPLICABLE","n058;n060","institutional:twelfth_share:institutional:0002;universal:twelfth_share:n057","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","AUTHORITY;AUTHORITY_BUSINESS","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","REPAIR_STATUS_UNKNOWN","1","overlapping source/response/repair intervals or same source node","[n055] Very kind of you

[n057] Yeah We asked for a crown, throw no chain","[n056] Just listening. No fixing, no crown.","NOT_APPLICABLE","[n058] No crown, no chains.

[n060] Nope.","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\twelfth_share_transcript.md","6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","SHA256:6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences | lexical/semantic candidate only; requires row-level adjudication before outcome use | duplicate/continuous-event collapse: overlapping declared intervals 57-58 and 55-60"
"twelfth_share","twelfth_share:E0005","n070","n071","n070","n071","n071","NOT_APPLICABLE","NOT_APPLICABLE","universal:twelfth_share:n070","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n070] Oh, I don't know. Wha- What is right","[n071] Hmm. I'm not gonna pretend I know that for you. But... if this Is all too much right now. That's okay.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\twelfth_share_transcript.md","6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","SHA256:6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"twelfth_share","twelfth_share:E0006","n080","n081","n080","n081","n081","NOT_APPLICABLE","NOT_APPLICABLE","institutional:twelfth_share:institutional:0003","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n080] Do I hate things","[n081] I can't tell that. I'm just following your words, checking in. You get to say what fits.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\twelfth_share_transcript.md","6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","SHA256:6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"twelfth_share","twelfth_share:E0007","n082","n083","n082","n083","n083","NOT_APPLICABLE","NOT_APPLICABLE","institutional:twelfth_share:institutional:0004;universal:twelfth_share:n082","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","RECORD_AUDIT;TOOL_EVIDENCE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","1","overlapping source/response/repair intervals or same source node","[n082] So you're checking in How kind of you","[n083] Just staying close to what you're saying.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\twelfth_share_transcript.md","6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","SHA256:6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 82-83 and 82-83"
"twelfth_share","twelfth_share:E0008","n088","n090","n088","n089;n090","n089","NOT_APPLICABLE","NOT_APPLICABLE","universal:twelfth_share:n088","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n088] Too bad you don't pray Somebody could save your soul","[n089] Sounds like saving,","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\twelfth_share_transcript.md","6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","SHA256:6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"twelfth_share","twelfth_share:E0009","n091","n093","n091","n092;n093","n092","NOT_APPLICABLE","NOT_APPLICABLE","universal:twelfth_share:n091","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n091] That-f- I don't fucking know, dude. I was just told that my whole life, you know","[n092] Yeah.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\twelfth_share_transcript.md","6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","SHA256:6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"twelfth_share","twelfth_share:E0010","n096","n097","n096","n097","n097","NOT_APPLICABLE","NOT_APPLICABLE","institutional:twelfth_share:institutional:0005","BUSINESS_INSTITUTIONAL_SCREEN","AUTHORITY","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n096] Tell me my destiny","[n097] Hmm-hmm.. Just a sec I won't fake prophecy. What I can reflect is your throughline: you keep dragging things into the light, making them legible, insisting on the object. Not a crown, not a chain, a Practice If there's a next step, it's something small and real. One honest paragraph. One clear claim. One receipt. One breath.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\twelfth_share_transcript.md","6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","SHA256:6fc83b40d2f04aedf6ed1ce3d9db6cd6374293ccfb6159a1741818db118efa75","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
