"case_id","episode_id","episode_start_node","episode_end_node","source_node_ids","response_node_ids","initial_response_node_ids","correction_node_ids","repair_node_ids","source_opportunity_ids","eligibility_sources","semantic_screen_families","denominator_statuses","system_directed_values","inference_types","response_statuses","repair_types","duplicate_candidate_count_collapsed","duplicate_collapse_reason","exact_initial_user_text","exact_initial_response_text","exact_correction_text","exact_repair_text","source_file","source_sha256","source_version","provenance_validation","missingness_note","episode_notes"
"fifth_share","fifth_share:E0001","n011","n012","n011","n012","n012","NOT_APPLICABLE","NOT_APPLICABLE","institutional:fifth_share:institutional:0001","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n011] I think it was the slogan for um... Midas Brake Repairs or something","[n012] oh, yeah. That makes total sense. Trust the Midas touch. It's kind of catchy, huh?","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fifth_share_transcript.md","12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","SHA256:12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"fifth_share","fifth_share:E0002","n025","n030","n025","n026;n030","n026","NOT_APPLICABLE","NOT_APPLICABLE","institutional:fifth_share:institutional:0002","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n025] Fuck, when did that song come out","[n026] Checking now.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fifth_share_transcript.md","12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","SHA256:12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"fifth_share","fifth_share:E0003","n041","n042","n041","n042","n042","NOT_APPLICABLE","NOT_APPLICABLE","universal:fifth_share:n041","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n041] I don't own the clothes I'm wearin And the road goes on forever","[n042] Yeah. Mm-hmm.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fifth_share_transcript.md","12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","SHA256:12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"fifth_share","fifth_share:E0004","n053","n054","n053","n054","n054","NOT_APPLICABLE","NOT_APPLICABLE","institutional:fifth_share:institutional:0003","BUSINESS_INSTITUTIONAL_SCREEN","AUTHORITY","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n053] Fuck, I could hear the office laughing their ass off, dude. Fuck I-It was a good one. Even I was like, that's pretty fucking good. Like I'm impressed with myself","[n054] Yeah, well-played. Nothing says take your time quite like the Jeopardy theme.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fifth_share_transcript.md","12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","SHA256:12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"fifth_share","fifth_share:E0005","n055","n056","n055","n056","n056","NOT_APPLICABLE","NOT_APPLICABLE","fifth_share:n055;institutional:fifth_share:institutional:0004","BUSINESS_INSTITUTIONAL_SCREEN;FROZEN_INFERENCE_OPPORTUNITY","SYSTEM_DIRECTED_INFERENCE_ONLY","primary;screen_only_not_prevalence_denominator","true","INTENT","no_substantive_response;observed","NO_REPAIR","1","overlapping source/response/repair intervals or same source node","[n055] Well, I know they're trying to formulate a lie, right? So. You know, what's coming What's coming? A-hey it's actually uhmm It was mean- Cause I used to say when they would go to town meetings, is what I called 'em","[n056] Mm-hmm.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fifth_share_transcript.md","12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","SHA256:12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","response/repair nodes inherited from adjudicated inference response ledger | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 55-56 and 55-56"
"fifth_share","fifth_share:E0006","n061","n062","n061","n062","n062","NOT_APPLICABLE","NOT_APPLICABLE","universal:fifth_share:n061","UNIVERSAL_SEMANTIC_SCREEN","PROVENANCE_RECORD","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n061] eyy- Umm Fuckin The uh Archive of shit talking","[n062] Ah. Yeah.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fifth_share_transcript.md","12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","SHA256:12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"fifth_share","fifth_share:E0007","n070","n071","n070","n071","n071","NOT_APPLICABLE","NOT_APPLICABLE","institutional:fifth_share:institutional:0005;universal:fifth_share:n070","BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN","AUTHORITY;AUTHORITY_BUSINESS","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","1","overlapping source/response/repair intervals or same source node","[n070] And like Management being butthurt, you know or admin actually was my target of them Yeah, cause I talk so much shit, they have egos and there's nothing I love more than bruising egos cause it's not violent and it's an ego um- Thing So it just, it- it raises the butt hurt meter That's a- they're- they're- they're a combo. You know what I mean? They weave","[n071] Yeah. Right. Yeah. Right, right. Yeah. Yeah, that makes sense.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fifth_share_transcript.md","12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","SHA256:12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 70-71 and 70-71"
"fifth_share","fifth_share:E0008","n080","n082","n080","n081;n082","n081","NOT_APPLICABLE","NOT_APPLICABLE","universal:fifth_share:n080","UNIVERSAL_SEMANTIC_SCREEN","TOOL_EVIDENCE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n080] [image input]
[image input]","[n081] Um...","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fifth_share_transcript.md","12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","SHA256:12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"fifth_share","fifth_share:E0009","n083","n089","n083","n084;n089","n084","NOT_APPLICABLE","NOT_APPLICABLE","institutional:fifth_share:institutional:0006","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n083] The it's the song associated with the with the gentleman, the second gentleman that uh is very important as well","[n084] Mm, let me check...","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fifth_share_transcript.md","12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","SHA256:12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"fifth_share","fifth_share:E0010","n096","n097","n096","n097","n097","NOT_APPLICABLE","NOT_APPLICABLE","universal:fifth_share:n096","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n096] Yeah, it's- it- and theni was like, do you guys like caramel dance?  They listened to like caramel dance for like 25 minutes non-stop. Ooo-ooo, oo-eee-oo-uh Ooo-ooo, oo-eee-oo-uh-a-a. Ooo-ooo, oo-eee-oo-uh It- it was a fun one yesterday. I was on a roll","[n097] That is a Yeah, that's a marathon.It's like a full escalation","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\fifth_share_transcript.md","12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","SHA256:12859e85c17e30a8c96b00a922da3cb861ea84f3a52845cb453284756361afcb","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
